          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

 bolometric           0    0.362 (0.0946)    0.551  0.284 (0.0119)   -0.065  0.711 (0.0023)
 Stromgren      u     1    0.629 (0.0109)    0.649  0.031 (0.0023)    0.582  0.078 (0.0009)
                v     2    0.627 (0.0123)    0.652  0.037 (0.0015)    0.571  0.094 (0.0004)
                b     3    0.623 (0.0126)    0.647  0.035 (0.0028)    0.570  0.089 (0.0011)
                y     4    0.633 (0.0081)    0.642  0.015 (0.0046)    0.611  0.036 (0.0039)
 Johnson        U     5    0.628 (0.0117)    0.651  0.034 (0.0020)    0.576  0.086 (0.0004)
                B     6    0.625 (0.0120)    0.647  0.033 (0.0027)    0.575  0.083 (0.0012)
                V     7    0.634 (0.0075)    0.642  0.012 (0.0047)    0.616  0.030 (0.0042)
                R     8    0.614 (0.0176)    0.653  0.059 (0.0009)    0.526  0.146 (0.0028)
                I     9    0.530 (0.0581)    0.665  0.202 (0.0070)    0.228  0.505 (0.0167)
                J    10    0.378 (0.1119)    0.609  0.346 (0.0083)   -0.140  0.864 (0.0124)
                K    11    0.232 (0.1249)    0.463  0.346 (0.0314)   -0.286  0.864 (0.0149)
                L    12    0.155 (0.0784)    0.288  0.199 (0.0287)   -0.144  0.498 (0.0193)
                M    13    0.133 (0.0732)    0.259  0.190 (0.0241)   -0.152  0.474 (0.0150)
                N    14    0.079 (0.0541)    0.176  0.146 (0.0147)   -0.140  0.364 (0.0077)
 Cousins        Rc   15    0.626 (0.0112)    0.648  0.032 (0.0023)    0.578  0.081 (0.0008)
                Ic   16    0.583 (0.0335)    0.663  0.120 (0.0051)    0.403  0.300 (0.0106)
 Bessell        UX   17    0.628 (0.0116)    0.650  0.034 (0.0020)    0.577  0.085 (0.0004)
 Bessell        BX   18    0.625 (0.0119)    0.647  0.033 (0.0027)    0.576  0.083 (0.0012)
 Bessell        B    19    0.625 (0.0120)    0.647  0.033 (0.0027)    0.575  0.083 (0.0012)
 Bessell        V    20    0.634 (0.0074)    0.642  0.012 (0.0048)    0.617  0.029 (0.0042)
 Bessell        R    21    0.625 (0.0117)    0.648  0.034 (0.0022)    0.574  0.086 (0.0006)
 Bessell        I    22    0.574 (0.0383)    0.665  0.137 (0.0058)    0.368  0.342 (0.0121)
 Tycho         TyB   23    0.625 (0.0127)    0.650  0.038 (0.0021)    0.568  0.094 (0.0004)
               TyV   24    0.633 (0.0081)    0.643  0.015 (0.0045)    0.610  0.037 (0.0038)
 Hipparchos    HIP   25    0.627 (0.0107)    0.646  0.029 (0.0029)    0.584  0.072 (0.0015)
 KEPLER              26    0.607 (0.0209)    0.654  0.070 (0.0010)    0.501  0.176 (0.0039)
 COROT SIS           27    0.590 (0.0293)    0.656  0.100 (0.0021)    0.440  0.250 (0.0067)
 COROT EXO           28    0.589 (0.0297)    0.656  0.101 (0.0022)    0.437  0.253 (0.0069)
 Geneva         U    29    0.628 (0.0109)    0.649  0.031 (0.0023)    0.582  0.078 (0.0009)
                B    30    0.624 (0.0126)    0.649  0.037 (0.0022)    0.569  0.092 (0.0005)
                B1   31    0.627 (0.0120)    0.651  0.036 (0.0019)    0.573  0.090 (0.0003)
                B2   32    0.623 (0.0128)    0.648  0.037 (0.0024)    0.568  0.092 (0.0007)
                V    33    0.634 (0.0076)    0.642  0.012 (0.0047)    0.616  0.031 (0.0042)
                V1   34    0.632 (0.0083)    0.643  0.016 (0.0045)    0.609  0.039 (0.0037)
                G    35    0.637 (0.0063)    0.640  0.005 (0.0053)    0.629  0.013 (0.0051)
 Vilnius        U    36    0.629 (0.0107)    0.649  0.030 (0.0024)    0.583  0.076 (0.0010)
                P    37    0.627 (0.0118)    0.650  0.035 (0.0020)    0.575  0.087 (0.0004)
                X    38    0.626 (0.0124)    0.651  0.037 (0.0017)    0.571  0.093 (0.0003)
                Y    39    0.623 (0.0125)    0.647  0.035 (0.0028)    0.571  0.087 (0.0011)
                Z    40    0.630 (0.0100)    0.646  0.024 (0.0037)    0.594  0.060 (0.0026)
                V    41    0.632 (0.0082)    0.643  0.015 (0.0046)    0.610  0.038 (0.0039)
                S    42    0.637 (0.0064)    0.644  0.010 (0.0041)    0.621  0.026 (0.0037)
 Milone         iz   43    0.445 (0.0946)    0.654  0.314 (0.0068)   -0.026  0.784 (0.0215)
                iJ   44    0.370 (0.1151)    0.606  0.353 (0.0097)   -0.159  0.883 (0.0125)
                iH   45    0.297 (0.1332)    0.563  0.399 (0.0165)   -0.302  0.998 (0.0058)
                iK   46    0.227 (0.1233)    0.453  0.338 (0.0327)   -0.280  0.845 (0.0166)
 YMS94         iz    47    0.445 (0.0946)    0.654  0.314 (0.0068)   -0.026  0.784 (0.0215)
               iJ    48    0.370 (0.1151)    0.606  0.353 (0.0097)   -0.159  0.883 (0.0125)
               iH    49    0.297 (0.1332)    0.563  0.399 (0.0165)   -0.302  0.997 (0.0058)
               iK    50    0.227 (0.1233)    0.453  0.338 (0.0327)   -0.280  0.845 (0.0166)
               iL    51    0.146 (0.0741)    0.270  0.187 (0.0277)   -0.134  0.466 (0.0189)
               iLp   52    0.137 (0.0709)    0.256  0.177 (0.0268)   -0.129  0.443 (0.0184)
               iM    53    0.144 (0.0773)    0.279  0.202 (0.0246)   -0.159  0.505 (0.0149)
               in    54    0.079 (0.0544)    0.176  0.146 (0.0149)   -0.140  0.364 (0.0079)
               iN    55    0.077 (0.0526)    0.173  0.144 (0.0133)   -0.139  0.359 (0.0064)
 Sloan DSS      u    56    0.628 (0.0113)    0.650  0.033 (0.0022)    0.579  0.082 (0.0007)
                g    57    0.628 (0.0105)    0.645  0.026 (0.0035)    0.589  0.065 (0.0023)
                r    58    0.637 (0.0063)    0.643  0.009 (0.0045)    0.624  0.021 (0.0041)
                i    59    0.594 (0.0278)    0.660  0.099 (0.0037)    0.446  0.247 (0.0081)
                z    60    0.512 (0.0670)    0.667  0.233 (0.0085)    0.163  0.582 (0.0196)
 HST STIS Ly_alpha   61    0.721 (0.0302)    0.644 -0.116 (0.0101)    0.895 -0.290 (0.0156)
            Fclear   62    0.664 (0.0235)    0.598 -0.098 (0.0131)    0.811 -0.245 (0.0176)
             Fsrf2   63    0.660 (0.0228)    0.596 -0.096 (0.0129)    0.803 -0.239 (0.0173)
              Fqtz   64    0.682 (0.0271)    0.607 -0.112 (0.0137)    0.849 -0.279 (0.0189)
              CIII   65    0.720 (0.0313)    0.638 -0.122 (0.0115)    0.903 -0.306 (0.0172)
              MgII   66    0.640 (0.0064)    0.647  0.011 (0.0040)    0.624  0.027 (0.0035)
            Nclear   67    0.634 (0.0088)    0.649  0.023 (0.0029)    0.600  0.056 (0.0018)
             Nsrf2   68    0.631 (0.0098)    0.647  0.025 (0.0032)    0.593  0.062 (0.0020)
