          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

              Nqtz   69    0.643 (0.0054)    0.648  0.007 (0.0040)    0.633  0.017 (0.0036)
             cn182   70    0.627 (0.0118)    0.651  0.035 (0.0020)    0.575  0.087 (0.0004)
             cn270   71    0.644 (0.0051)    0.649  0.007 (0.0037)    0.634  0.017 (0.0034)
            Oclear   72    0.574 (0.0365)    0.658  0.125 (0.0029)    0.387  0.312 (0.0089)
         Oclear-lp   73    0.571 (0.0381)    0.658  0.131 (0.0033)    0.375  0.326 (0.0095)
             [OII]   74    0.626 (0.0120)    0.650  0.036 (0.0020)    0.573  0.090 (0.0003)
            [OIII]   75    0.631 (0.0109)    0.650  0.029 (0.0029)    0.587  0.073 (0.0016)
 2MASS          J    76    0.373 (0.1140)    0.607  0.351 (0.0092)   -0.152  0.876 (0.0126)
 2MASS          H    77    0.295 (0.1325)    0.559  0.395 (0.0175)   -0.297  0.987 (0.0050)
 2MASS          Ks   78    0.230 (0.1243)    0.457  0.342 (0.0323)   -0.283  0.855 (0.0159)
 SWASP               79    0.635 (0.0073)    0.644  0.014 (0.0041)    0.614  0.034 (0.0035)
 MOST                80    0.631 (0.0087)    0.646  0.021 (0.0033)    0.599  0.054 (0.0022)
 GAIA (2006)    G    81    0.595 (0.0265)    0.655  0.090 (0.0016)    0.460  0.225 (0.0057)
 GAIA (2010)    G    82    0.589 (0.0299)    0.657  0.102 (0.0024)    0.435  0.256 (0.0071)
 GAIA (2010)    BP   83    0.636 (0.0067)    0.643  0.010 (0.0046)    0.621  0.025 (0.0041)
 GAIA (2010)    RP   84    0.566 (0.0410)    0.662  0.143 (0.0048)    0.352  0.358 (0.0116)
 GAIA (2010)  G_RV   85    0.543 (0.0532)    0.670  0.189 (0.0084)    0.259  0.473 (0.0173)
 Milone        230   86    0.725 (0.0318)    0.645 -0.121 (0.0102)    0.907 -0.303 (0.0159)
               250   87    0.684 (0.0130)    0.650 -0.051 (0.0060)    0.761 -0.128 (0.0085)
               270   88    0.643 (0.0056)    0.649  0.009 (0.0036)    0.629  0.023 (0.0031)
               290   89    0.642 (0.0056)    0.647  0.007 (0.0041)    0.631  0.019 (0.0037)
               310   90    0.645 (0.0053)    0.648  0.005 (0.0043)    0.637  0.013 (0.0040)
               330   91    0.634 (0.0083)    0.647  0.020 (0.0032)    0.603  0.050 (0.0023)
 CaII triplet  858   92    0.545 (0.0525)    0.669  0.187 (0.0084)    0.264  0.467 (0.0171)
 WIRE  Johnson V+R   93    0.617 (0.0160)    0.651  0.052 (0.0010)    0.539  0.130 (0.0018)
               LUT   94    0.626 (0.0115)    0.649  0.033 (0.0023)    0.577  0.083 (0.0008)
              TESS   95    0.559 (0.0443)    0.661  0.153 (0.0046)    0.329  0.383 (0.0119)


          Teff = 3500 K,  log g = 0.5,  [M/H] = -4.5

 bolometric           0    0.335 (0.1008)    0.533  0.298 (0.0149)   -0.113  0.745 (0.0015)
 Stromgren      u     1    0.627 (0.0118)    0.650  0.035 (0.0022)    0.575  0.086 (0.0005)
                v     2    0.629 (0.0120)    0.653  0.035 (0.0020)    0.577  0.087 (0.0006)
                b     3    0.627 (0.0110)    0.646  0.028 (0.0034)    0.584  0.071 (0.0021)
                y     4    0.635 (0.0073)    0.643  0.012 (0.0045)    0.617  0.031 (0.0039)
 Johnson        U     5    0.627 (0.0123)    0.651  0.036 (0.0020)    0.572  0.091 (0.0004)
                B     6    0.629 (0.0106)    0.647  0.027 (0.0033)    0.588  0.068 (0.0021)
                V     7    0.632 (0.0084)    0.645  0.019 (0.0038)    0.605  0.046 (0.0029)
                R     8    0.578 (0.0353)    0.659  0.122 (0.0035)    0.394  0.306 (0.0093)
                I     9    0.474 (0.0809)    0.655  0.270 (0.0053)    0.069  0.675 (0.0182)
                J    10    0.331 (0.1194)    0.567  0.354 (0.0162)   -0.200  0.885 (0.0055)
                K    11    0.220 (0.1263)    0.453  0.350 (0.0307)   -0.306  0.876 (0.0139)
                L    12    0.146 (0.0791)    0.283  0.205 (0.0267)   -0.161  0.512 (0.0170)
                M    13    0.126 (0.0728)    0.253  0.190 (0.0233)   -0.159  0.475 (0.0142)
                N    14    0.077 (0.0492)    0.163  0.129 (0.0157)   -0.117  0.323 (0.0095)
 Cousins        Rc   15    0.599 (0.0247)    0.655  0.084 (0.0015)    0.473  0.211 (0.0053)
                Ic   16    0.530 (0.0585)    0.666  0.204 (0.0072)    0.225  0.509 (0.0170)
 Bessell        UX   17    0.627 (0.0123)    0.651  0.036 (0.0020)    0.573  0.090 (0.0004)
 Bessell        BX   18    0.629 (0.0106)    0.647  0.027 (0.0033)    0.588  0.068 (0.0021)
 Bessell        B    19    0.629 (0.0106)    0.647  0.027 (0.0033)    0.588  0.068 (0.0020)
 Bessell        V    20    0.633 (0.0083)    0.645  0.018 (0.0038)    0.605  0.046 (0.0029)
 Bessell        R    21    0.598 (0.0256)    0.656  0.087 (0.0017)    0.467  0.218 (0.0057)
 Bessell        I    22    0.519 (0.0632)    0.665  0.218 (0.0072)    0.192  0.546 (0.0177)
 Tycho         TyB   23    0.627 (0.0118)    0.649  0.033 (0.0026)    0.578  0.083 (0.0012)
               TyV   24    0.632 (0.0085)    0.645  0.019 (0.0039)    0.604  0.046 (0.0030)
 Hipparchos    HIP   25    0.612 (0.0184)    0.651  0.059 (0.0008)    0.523  0.148 (0.0021)
 KEPLER              26    0.574 (0.0367)    0.658  0.125 (0.0030)    0.386  0.314 (0.0089)
 COROT SIS           27    0.554 (0.0458)    0.657  0.155 (0.0032)    0.321  0.387 (0.0107)
 COROT EXO           28    0.552 (0.0464)    0.657  0.157 (0.0034)    0.316  0.393 (0.0109)
 Geneva         U    29    0.627 (0.0118)    0.650  0.035 (0.0022)    0.575  0.087 (0.0005)
                B    30    0.627 (0.0116)    0.649  0.032 (0.0028)    0.579  0.080 (0.0013)
                B1   31    0.628 (0.0121)    0.652  0.035 (0.0021)    0.576  0.088 (0.0006)
                B2   32    0.627 (0.0115)    0.647  0.031 (0.0031)    0.580  0.077 (0.0016)
                V    33    0.634 (0.0078)    0.644  0.016 (0.0041)    0.610  0.039 (0.0033)
                V1   34    0.635 (0.0076)    0.644  0.014 (0.0043)    0.614  0.035 (0.0037)
                G    35    0.633 (0.0079)    0.644  0.017 (0.0038)    0.607  0.043 (0.0029)
 Vilnius        U    36    0.627 (0.0116)    0.650  0.034 (0.0022)    0.576  0.085 (0.0006)
                P    37    0.626 (0.0125)    0.651  0.037 (0.0020)    0.571  0.093 (0.0003)
                X    38    0.628 (0.0122)    0.652  0.036 (0.0021)    0.575  0.089 (0.0006)
                Y    39    0.627 (0.0109)    0.646  0.028 (0.0034)    0.585  0.070 (0.0021)
                Z    40    0.634 (0.0083)    0.645  0.017 (0.0042)    0.609  0.042 (0.0034)
                V    41    0.635 (0.0074)    0.643  0.013 (0.0045)    0.616  0.031 (0.0039)
                S    42    0.613 (0.0181)    0.654  0.061 (0.0010)    0.521  0.153 (0.0032)
 Milone         iz   43    0.389 (0.1109)    0.622  0.350 (0.0054)   -0.136  0.874 (0.0152)
                iJ   44    0.323 (0.1215)    0.561  0.357 (0.0177)   -0.212  0.892 (0.0057)
                iH   45    0.263 (0.1356)    0.526  0.394 (0.0232)   -0.328  0.985 (0.0051)
                iK   46    0.218 (0.1251)    0.449  0.346 (0.0310)   -0.302  0.866 (0.0144)
 YMS94         iz    47    0.389 (0.1108)    0.622  0.350 (0.0054)   -0.136  0.874 (0.0152)
               iJ    48    0.323 (0.1215)    0.561  0.357 (0.0177)   -0.212  0.892 (0.0057)
               iH    49    0.264 (0.1355)    0.526  0.394 (0.0232)   -0.327  0.985 (0.0051)
               iK    50    0.218 (0.1251)    0.449  0.346 (0.0310)   -0.302  0.866 (0.0144)
               iL    51    0.139 (0.0750)    0.267  0.193 (0.0259)   -0.151  0.483 (0.0167)
               iLp   52    0.131 (0.0721)    0.254  0.184 (0.0252)   -0.145  0.461 (0.0164)
               iM    53    0.136 (0.0770)    0.271  0.203 (0.0240)   -0.168  0.506 (0.0142)
               in    54    0.077 (0.0494)    0.163  0.130 (0.0157)   -0.118  0.325 (0.0095)
               iN    55    0.075 (0.0473)    0.157  0.124 (0.0149)   -0.112  0.311 (0.0090)
 Sloan DSS      u    56    0.627 (0.0121)    0.651  0.036 (0.0021)    0.574  0.089 (0.0004)
                g    57    0.632 (0.0090)    0.645  0.020 (0.0039)    0.602  0.050 (0.0030)
                r    58    0.619 (0.0149)    0.651  0.048 (0.0012)    0.547  0.120 (0.0014)
                i    59    0.545 (0.0516)    0.665  0.180 (0.0066)    0.274  0.451 (0.0151)
                z    60    0.453 (0.0900)    0.652  0.298 (0.0053)    0.006  0.745 (0.0194)
 HST STIS Ly_alpha   61    0.743 (0.0333)    0.661 -0.123 (0.0084)    0.927 -0.307 (0.0142)
            Fclear   62    0.753 (0.0486)    0.627 -0.189 (0.0172)    1.037 -0.473 (0.0260)
             Fsrf2   63    0.753 (0.0483)    0.627 -0.188 (0.0171)    1.035 -0.470 (0.0259)
              Fqtz   64    0.754 (0.0486)    0.628 -0.188 (0.0168)    1.036 -0.471 (0.0256)
              CIII   65    0.746 (0.0387)    0.649 -0.145 (0.0110)    0.963 -0.362 (0.0179)
              MgII   66    0.642 (0.0065)    0.650  0.012 (0.0039)    0.624  0.029 (0.0033)
            Nclear   67    0.635 (0.0090)    0.651  0.023 (0.0028)    0.600  0.059 (0.0017)
             Nsrf2   68    0.634 (0.0090)    0.648  0.022 (0.0033)    0.600  0.055 (0.0023)
              Nqtz   69    0.642 (0.0064)    0.651  0.014 (0.0032)    0.622  0.034 (0.0026)
             cn182   70    0.629 (0.0117)    0.651  0.034 (0.0022)    0.578  0.084 (0.0007)
             cn270   71    0.644 (0.0060)    0.652  0.012 (0.0032)    0.626  0.030 (0.0027)
            Oclear   72    0.536 (0.0533)    0.655  0.179 (0.0032)    0.267  0.447 (0.0118)
         Oclear-lp   73    0.529 (0.0564)    0.656  0.190 (0.0037)    0.245  0.474 (0.0129)
             [OII]   74    0.625 (0.0127)    0.651  0.038 (0.0020)    0.568  0.095 (0.0003)
            [OIII]   75    0.637 (0.0090)    0.649  0.019 (0.0041)    0.608  0.048 (0.0032)
 2MASS          J    76    0.326 (0.1208)    0.563  0.356 (0.0172)   -0.208  0.889 (0.0056)
 2MASS          H    77    0.262 (0.1345)    0.522  0.389 (0.0239)   -0.322  0.974 (0.0057)
 2MASS          Ks   78    0.219 (0.1260)    0.451  0.349 (0.0310)   -0.305  0.873 (0.0142)
 SWASP               79    0.620 (0.0147)    0.650  0.046 (0.0013)    0.550  0.116 (0.0010)
 MOST                80    0.611 (0.0191)    0.653  0.063 (0.0007)    0.516  0.158 (0.0031)
 GAIA (2006)    G    81    0.561 (0.0423)    0.657  0.143 (0.0030)    0.346  0.359 (0.0099)
 GAIA (2010)    G    82    0.551 (0.0471)    0.658  0.160 (0.0036)    0.311  0.400 (0.0112)
 GAIA (2010)    BP   83    0.624 (0.0122)    0.649  0.036 (0.0021)    0.570  0.091 (0.0004)
 GAIA (2010)    RP   84    0.517 (0.0628)    0.660  0.214 (0.0054)    0.197  0.534 (0.0157)
 GAIA (2010)  G_RV   85    0.484 (0.0789)    0.662  0.268 (0.0073)    0.082  0.669 (0.0202)
 Milone        230   86    0.746 (0.0337)    0.665 -0.123 (0.0079)    0.931 -0.307 (0.0138)
               250   87    0.691 (0.0117)    0.662 -0.044 (0.0044)    0.758 -0.110 (0.0065)
               270   88    0.642 (0.0066)    0.652  0.015 (0.0031)    0.620  0.036 (0.0025)
               290   89    0.641 (0.0065)    0.650  0.013 (0.0035)    0.622  0.033 (0.0028)
               310   90    0.642 (0.0066)    0.652  0.014 (0.0034)    0.621  0.036 (0.0027)
               330   91    0.630 (0.0101)    0.650  0.029 (0.0023)    0.587  0.072 (0.0010)
 CaII triplet  858   92    0.485 (0.0784)    0.663  0.266 (0.0074)    0.086  0.666 (0.0202)
 WIRE  Johnson V+R   93    0.586 (0.0311)    0.657  0.106 (0.0024)    0.427  0.266 (0.0074)
               LUT   94    0.620 (0.0150)    0.651  0.046 (0.0015)    0.550  0.116 (0.0008)
              TESS   95    0.512 (0.0643)    0.656  0.216 (0.0044)    0.188  0.540 (0.0148)


          Teff = 3500 K,  log g = 1.0,  [M/H] = -4.5

 bolometric           0    0.289 (0.1084)    0.498  0.314 (0.0192)   -0.183  0.786 (0.0042)
 Stromgren      u     1    0.628 (0.0117)    0.650  0.034 (0.0024)    0.578  0.084 (0.0008)
                v     2    0.633 (0.0108)    0.652  0.029 (0.0030)    0.590  0.072 (0.0018)
                b     3    0.627 (0.0110)    0.647  0.029 (0.0032)    0.584  0.073 (0.0018)
                y     4    0.616 (0.0167)    0.653  0.055 (0.0010)    0.533  0.138 (0.0024)
 Johnson        U     5    0.629 (0.0117)    0.651  0.033 (0.0027)    0.580  0.082 (0.0012)
                B     6    0.628 (0.0114)    0.649  0.031 (0.0029)    0.581  0.078 (0.0014)
                V     7    0.607 (0.0212)    0.655  0.072 (0.0013)    0.499  0.180 (0.0043)
                R     8    0.510 (0.0668)    0.663  0.229 (0.0067)    0.167  0.572 (0.0177)
                I     9    0.394 (0.1102)    0.628  0.352 (0.0042)   -0.134  0.879 (0.0166)
                J    10    0.259 (0.1300)    0.504  0.368 (0.0267)   -0.293  0.920 (0.0095)
                K    11    0.194 (0.1197)    0.413  0.329 (0.0300)   -0.299  0.822 (0.0141)
                L    12    0.120 (0.0817)    0.261  0.211 (0.0271)   -0.197  0.529 (0.0169)
                M    13    0.109 (0.0734)    0.238  0.192 (0.0232)   -0.179  0.481 (0.0139)
                N    14    0.068 (0.0489)    0.151  0.125 (0.0170)   -0.120  0.312 (0.0110)
 Cousins        Rc   15    0.540 (0.0538)    0.664  0.187 (0.0063)    0.259  0.467 (0.0152)
                Ic   16    0.448 (0.0937)    0.656  0.312 (0.0065)   -0.021  0.780 (0.0213)
 Bessell        UX   17    0.629 (0.0117)    0.651  0.033 (0.0027)    0.580  0.082 (0.0011)
 Bessell        BX   18    0.628 (0.0114)    0.649  0.031 (0.0028)    0.581  0.079 (0.0014)
 Bessell        B    19    0.628 (0.0114)    0.649  0.031 (0.0029)    0.581  0.078 (0.0014)
 Bessell        V    20    0.607 (0.0212)    0.656  0.072 (0.0013)    0.499  0.181 (0.0044)
 Bessell        R    21    0.537 (0.0548)    0.664  0.190 (0.0063)    0.252  0.475 (0.0154)
 Bessell        I    22    0.437 (0.0975)    0.651  0.322 (0.0056)   -0.047  0.805 (0.0207)
 Tycho         TyB   23    0.630 (0.0111)    0.650  0.030 (0.0031)    0.585  0.074 (0.0017)
               TyV   24    0.612 (0.0190)    0.654  0.063 (0.0008)    0.517  0.158 (0.0031)
 Hipparchos    HIP   25    0.574 (0.0373)    0.659  0.128 (0.0031)    0.382  0.319 (0.0091)
 KEPLER              26    0.515 (0.0637)    0.659  0.216 (0.0050)    0.191  0.539 (0.0154)
 COROT SIS           27    0.492 (0.0722)    0.652  0.240 (0.0038)    0.132  0.600 (0.0153)
 COROT EXO           28    0.490 (0.0732)    0.652  0.244 (0.0039)    0.125  0.609 (0.0155)
 Geneva         U    29    0.628 (0.0117)    0.650  0.033 (0.0024)    0.578  0.084 (0.0008)
                B    30    0.630 (0.0111)    0.649  0.030 (0.0031)    0.585  0.074 (0.0017)
                B1   31    0.630 (0.0117)    0.652  0.032 (0.0028)    0.582  0.080 (0.0014)
                B2   32    0.628 (0.0111)    0.648  0.030 (0.0031)    0.584  0.074 (0.0018)
                V    33    0.611 (0.0195)    0.655  0.066 (0.0010)    0.512  0.164 (0.0036)
                V1   34    0.617 (0.0165)    0.653  0.054 (0.0009)    0.536  0.136 (0.0022)
                G    35    0.599 (0.0250)    0.658  0.087 (0.0026)    0.468  0.218 (0.0064)
 Vilnius        U    36    0.628 (0.0117)    0.650  0.034 (0.0023)    0.578  0.084 (0.0008)
                P    37    0.628 (0.0118)    0.650  0.033 (0.0027)    0.579  0.082 (0.0012)
                X    38    0.631 (0.0113)    0.651  0.030 (0.0030)    0.586  0.076 (0.0016)
                Y    39    0.627 (0.0111)    0.647  0.030 (0.0031)    0.583  0.074 (0.0018)
                Z    40    0.626 (0.0129)    0.652  0.039 (0.0020)    0.568  0.097 (0.0003)
                V    41    0.617 (0.0165)    0.653  0.054 (0.0010)    0.535  0.135 (0.0022)
                S    42    0.553 (0.0485)    0.667  0.172 (0.0071)    0.295  0.429 (0.0152)
 Milone         iz   43    0.313 (0.1297)    0.571  0.388 (0.0159)   -0.268  0.969 (0.0073)
                iJ   44    0.253 (0.1308)    0.498  0.368 (0.0282)   -0.298  0.919 (0.0109)
                iH   45    0.213 (0.1308)    0.451  0.358 (0.0336)   -0.324  0.894 (0.0164)
                iK   46    0.195 (0.1186)    0.414  0.328 (0.0289)   -0.296  0.819 (0.0131)
 YMS94         iz    47    0.313 (0.1297)    0.571  0.388 (0.0159)   -0.268  0.969 (0.0073)
               iJ    48    0.253 (0.1308)    0.498  0.368 (0.0282)   -0.298  0.919 (0.0109)
               iH    49    0.213 (0.1308)    0.451  0.358 (0.0336)   -0.323  0.894 (0.0164)
               iK    50    0.195 (0.1186)    0.414  0.328 (0.0289)   -0.296  0.819 (0.0131)
               iL    51    0.115 (0.0782)    0.249  0.202 (0.0261)   -0.189  0.505 (0.0165)
               iLp   52    0.110 (0.0756)    0.240  0.195 (0.0253)   -0.183  0.488 (0.0159)
               iM    53    0.117 (0.0774)    0.253  0.204 (0.0238)   -0.190  0.510 (0.0139)
               in    54    0.068 (0.0490)    0.151  0.125 (0.0171)   -0.120  0.313 (0.0111)
               iN    55    0.065 (0.0470)    0.145  0.120 (0.0162)   -0.116  0.301 (0.0105)
 Sloan DSS      u    56    0.628 (0.0117)    0.650  0.033 (0.0025)    0.579  0.083 (0.0010)
                g    57    0.625 (0.0128)    0.650  0.038 (0.0021)    0.568  0.095 (0.0004)
                r    58    0.567 (0.0413)    0.664  0.146 (0.0057)    0.348  0.365 (0.0125)
                i    59    0.464 (0.0870)    0.660  0.293 (0.0071)    0.025  0.732 (0.0211)
                z    60    0.372 (0.1177)    0.619  0.370 (0.0062)   -0.184  0.926 (0.0154)
 HST STIS Ly_alpha   61    0.738 (0.0208)    0.691 -0.071 (0.0029)    0.846 -0.179 (0.0064)
            Fclear   62    0.777 (0.0498)    0.654 -0.184 (0.0127)    1.053 -0.461 (0.0214)
             Fsrf2   63    0.777 (0.0499)    0.654 -0.185 (0.0128)    1.054 -0.462 (0.0215)
              Fqtz   64    0.771 (0.0474)    0.655 -0.174 (0.0117)    1.033 -0.436 (0.0200)
              CIII   65    0.737 (0.0263)    0.676 -0.092 (0.0044)    0.875 -0.229 (0.0088)
              MgII   66    0.637 (0.0086)    0.652  0.023 (0.0028)    0.603  0.056 (0.0017)
            Nclear   67    0.635 (0.0099)    0.653  0.027 (0.0025)    0.593  0.069 (0.0012)
             Nsrf2   68    0.631 (0.0108)    0.652  0.031 (0.0024)    0.585  0.077 (0.0010)
              Nqtz   69    0.638 (0.0090)    0.655  0.025 (0.0022)    0.599  0.064 (0.0010)
             cn182   70    0.631 (0.0111)    0.651  0.030 (0.0028)    0.586  0.076 (0.0014)
             cn270   71    0.637 (0.0094)    0.654  0.026 (0.0024)    0.597  0.066 (0.0012)
            Oclear   72    0.473 (0.0793)    0.646  0.260 (0.0028)    0.082  0.651 (0.0150)
         Oclear-lp   73    0.460 (0.0848)    0.646  0.279 (0.0032)    0.042  0.696 (0.0163)
             [OII]   74    0.628 (0.0116)    0.649  0.032 (0.0028)    0.580  0.080 (0.0013)
            [OIII]   75    0.631 (0.0123)    0.654  0.035 (0.0027)    0.578  0.087 (0.0011)
 2MASS          J    76    0.255 (0.1307)    0.501  0.368 (0.0277)   -0.297  0.920 (0.0104)
 2MASS          H    77    0.212 (0.1301)    0.448  0.355 (0.0337)   -0.321  0.888 (0.0166)
 2MASS          Ks   78    0.195 (0.1195)    0.415  0.329 (0.0295)   -0.299  0.823 (0.0136)
 SWASP               79    0.577 (0.0364)    0.661  0.127 (0.0041)    0.386  0.318 (0.0101)
 MOST                80    0.562 (0.0434)    0.663  0.151 (0.0050)    0.335  0.378 (0.0122)
 GAIA (2006)    G    81    0.502 (0.0684)    0.654  0.228 (0.0040)    0.159  0.571 (0.0150)
 GAIA (2010)    G    82    0.488 (0.0743)    0.653  0.247 (0.0040)    0.117  0.618 (0.0158)
 GAIA (2010)    BP   83    0.586 (0.0321)    0.660  0.112 (0.0035)    0.417  0.281 (0.0087)
 GAIA (2010)    RP   84    0.440 (0.0943)    0.646  0.309 (0.0041)   -0.024  0.773 (0.0184)
 GAIA (2010)  G_RV   85    0.400 (0.1107)    0.637  0.357 (0.0046)   -0.135  0.891 (0.0191)
 Milone        230   86    0.741 (0.0199)    0.696 -0.068 (0.0024)    0.842 -0.169 (0.0057)
               250   87    0.674 (0.0017)    0.672 -0.003 (0.0020)    0.678 -0.007 (0.0021)
