  -0.275293830D+02   0.534416697D+02  -0.221665423D+02   0.569184444D+01  -0.108991402D+01   0.174698519D+00  -0.269747293D-01   0.478048033D-02  -0.838424240D-03   0.840480750D-04
   0.667519905D+01   0.109641548D+02  -0.368439825D+01   0.742207891D+00  -0.105588135D+00   0.114981511D-01  -0.854969423D-03  -0.249546472D-04   0.370484430D-04  -0.625738998D-05
   0.136255664D+02   0.496567751D+01  -0.199967764D+01   0.509411333D+00  -0.824028114D-01   0.102182153D-01  -0.371799766D-03  -0.825367701D-03   0.363612596D-03  -0.533050469D-04
   0.166475060D+02   0.208912689D+01  -0.810642026D+00   0.296282628D+00  -0.718819648D-01   0.879135392D-02   0.125843110D-02  -0.900151766D-03   0.204420682D-03  -0.199341647D-04
   0.181054905D+02   0.909862280D+00  -0.113981673D+00   0.401889446D-01  -0.110215750D-01   0.255001106D-02  -0.506812506D-03   0.830417963D-04  -0.100217002D-04   0.668469359D-06
  -0.220258897D+02   0.477224893D+02  -0.217473173D+02   0.776765280D+01  -0.319093390D+01   0.142976103D+01  -0.543096871D+00   0.150560056D+00  -0.268773805D-01   0.234595465D-02
   0.796255523D+01   0.939776232D+01  -0.318233092D+01   0.643771599D+00  -0.889128948D-01   0.820159186D-02  -0.125620548D-03  -0.123577328D-03   0.441806028D-04  -0.795410451D-05
   0.139034138D+02   0.425768747D+01  -0.172676790D+01   0.469888936D+00  -0.912894933D-01   0.201606301D-01  -0.620460558D-02   0.146765751D-02  -0.165709022D-03   0.173018459D-05
   0.165157225D+02   0.184304924D+01  -0.670745208D+00   0.252608711D+00  -0.673344603D-01   0.117574980D-01  -0.637436396D-03  -0.320111871D-03   0.101142608D-03  -0.111405189D-04
   0.178393136D+02   0.874059797D+00  -0.937169773D-01   0.325615342D-01  -0.876475482D-02   0.199039885D-02  -0.390309244D-03   0.636134541D-04  -0.769426991D-05   0.517035887D-06
  -0.173686850D+02   0.408352878D+02  -0.167171593D+02   0.403235220D+01  -0.649770617D+00   0.748962533D-01  -0.973336521D-02   0.276594696D-02  -0.724793637D-03   0.892572495D-04
   0.879080255D+01   0.834172306D+01  -0.285025991D+01   0.591583868D+00  -0.886225629D-01   0.113624127D-01  -0.151497059D-02   0.317601075D-03  -0.554119631D-04   0.245773616D-05
   0.140591936D+02   0.377324029D+01  -0.152057652D+01   0.424078004D+00  -0.849622041D-01   0.197889030D-01  -0.699439158D-02   0.209462507D-02  -0.370758888D-03   0.287250100D-04
   0.163975830D+02   0.168362103D+01  -0.577046604D+00   0.220086297D+00  -0.613404647D-01   0.122525269D-01  -0.140792004D-02  -0.431183717D-04   0.471779270D-04  -0.619881806D-05
   0.176347521D+02   0.851346440D+00  -0.810091299D-01   0.278493215D-01  -0.739065221D-02   0.165270457D-02  -0.319973137D-03   0.517594751D-04  -0.624687259D-05   0.420460905D-06
  -0.128441937D+02   0.352368481D+02  -0.145607356D+02   0.357648998D+01  -0.586992323D+00   0.593559750D-01  -0.410350016D-03  -0.119518684D-02   0.237648967D-03  -0.188542363D-04
   0.967224118D+01   0.713941828D+01  -0.244440437D+01   0.511742597D+00  -0.786435724D-01   0.115635648D-01  -0.208982974D-02   0.585541794D-03  -0.144670188D-03   0.157020142D-04
   0.141914895D+02   0.323629008D+01  -0.127574243D+01   0.357368033D+00  -0.672701056D-01   0.127603366D-01  -0.450777362D-02   0.160640672D-02  -0.345750061D-03   0.336443465D-04
   0.162311878D+02   0.151457074D+01  -0.475699391D+00   0.182539640D+00  -0.525816207D-01   0.115546734D-01  -0.179269375D-02   0.144832273D-03   0.652273763D-05  -0.224126073D-05
   0.173770828D+02   0.827415474D+00  -0.677631912D-01   0.230093430D-01  -0.600170544D-02   0.131568088D-02  -0.250176430D-03   0.399708013D-04  -0.479503275D-05   0.322345935D-06
  -0.242632976D+02   0.490094414D+02  -0.201785581D+02   0.518083931D+01  -0.988724015D+00   0.141611576D+00  -0.757322035D-02  -0.414112485D-02   0.154912406D-02  -0.201732136D-03
   0.721509719D+01   0.102297079D+02  -0.338260209D+01   0.671084162D+00  -0.949695679D-01   0.101896907D-01  -0.520881765D-03  -0.124080299D-03   0.554748837D-04  -0.820379152D-05
   0.137327111D+02   0.471110323D+01  -0.187305593D+01   0.474106628D+00  -0.775319063D-01   0.114290022D-01  -0.171535197D-02  -0.235652618D-03   0.221908934D-03  -0.380883921D-04
