54954.53522	1.0   1.0
54956.18984	1.0   1.0
54957.84692	1.0   1.0
54959.50161	1.0   1.0
54961.15514	1.0   1.0
54962.81125	1.0   1.0
54966.12288	1.0   1.0
54967.77999	1.0   1.0
54969.43353	1.0   1.0
54971.08828	1.0   1.0
54972.74676	1.0   1.0
54974.40088	1.0   1.0
54976.05496	1.0   1.0
54977.71193	1.0   1.0
54979.36653	1.0   1.0
54981.02332	1.0   1.0
54982.67842	1.0   1.0
54984.33229	1.0   1.0
54985.98593	1.0   1.0
54987.64555	1.0   1.0
54989.29991	1.0   1.0
54990.95528	1.0   1.0
54992.61075	1.0   1.0
54994.26526	1.0   1.0
54995.92323	1.0   1.0
54997.57758	1.0   1.0
55004.19937	1.0   1.0
55005.85546	1.0   1.0
55007.50946	1.0   1.0
55009.16506	1.0   1.0
55010.82278	1.0   1.0
55012.47676	1.0   1.0
55014.13119	1.0   1.0
55017.44191	1.0   1.0
55019.09971	1.0   1.0
55020.75468	1.0   1.0
55022.40844	1.0   1.0
55024.06548	1.0   1.0
55025.72100	1.0   1.0
55027.37657	1.0   1.0
55029.03255	1.0   1.0
55030.68656	1.0   1.0
55032.34167	1.0   1.0
55033.99980	1.0   1.0
55035.65368	1.0   1.0
55037.30888	1.0   1.0
55038.96476	1.0   1.0
55040.61993	1.0   1.0
55042.27668	1.0   1.0
55043.93175	1.0   1.0
55045.58537	1.0   1.0
55047.24257	1.0   1.0
55048.89846	1.0   1.0
55050.55343	1.0   1.0
55052.20917	1.0   1.0
55053.86389	1.0   1.0
55055.51823	1.0   1.0
55057.17702	1.0   1.0
55058.83068	1.0   1.0
55060.48525	1.0   1.0
55062.14204	1.0   1.0
55065.45299	1.0   1.0
55067.10939	1.0   1.0
55068.76259	1.0   1.0
55070.41911	1.0   1.0
55072.07523	1.0   1.0
55073.72974	1.0   1.0
55075.38605	1.0   1.0
55077.04111	1.0   1.0
55078.69563	1.0   1.0
55080.35309	1.0   1.0
55082.00791	1.0   1.0
55083.66151	1.0   1.0
55085.31921	1.0   1.0
55086.97491	1.0   1.0
55090.28679	1.0   1.0
55093.59657	1.0   1.0
55095.25284	1.0   1.0
55096.90693	1.0   1.0
55098.56201	1.0   1.0
55100.21606	1.0   1.0
55101.87281	1.0   1.0
55103.52981	1.0   1.0
55105.18527	1.0   1.0
55106.83873	1.0   1.0
55108.49585	1.0   1.0
55110.15131	1.0   1.0
55111.80619	1.0   1.0
55113.45637	1.0   1.0
55115.11646	1.0   1.0
55116.77184	1.0   1.0
55118.42989	1.0   1.0
55120.08354	1.0   1.0
55121.73893	1.0   1.0
55123.39390	1.0   1.0
55125.04921	1.0   1.0
55126.70642	1.0   1.0
55128.36183	1.0   1.0
55130.01502	1.0   1.0
55131.67264	1.0   1.0
55133.32799	1.0   1.0
55134.98266	1.0   1.0
55136.63883	1.0   1.0
55138.29404	1.0   1.0
55139.94919	1.0   1.0
55141.60682	1.0   1.0
55143.26066	1.0   1.0
55144.91478	1.0   1.0
55146.57192	1.0   1.0
55148.22718	1.0   1.0
55149.88253	1.0   1.0
55151.53867	1.0   1.0
55153.19232	1.0   1.0
55158.16025	1.0   1.0
55159.81585	1.0   1.0
55161.47147	1.0   1.0
55163.12600	1.0   1.0
55164.78362	1.0   1.0
55166.43819	1.0   1.0
55168.09234	1.0   1.0
55169.74908	1.0   1.0
55171.40444	1.0   1.0
55173.05995	1.0   1.0
55174.71643	1.0   1.0
55176.37022	1.0   1.0
55178.02636	1.0   1.0
55179.68324	1.0   1.0
55181.33708	1.0   1.0
55186.30323	1.0   1.0
55187.96108	1.0   1.0
55189.61536	1.0   1.0
55191.26956	1.0   1.0
55192.92706	1.0   1.0
55194.58192	1.0   1.0
55196.23690	1.0   1.0
55197.89336	1.0   1.0
55199.54783	1.0   1.0
55201.20333	1.0   1.0
55202.86042	1.0   1.0
55204.51474	1.0   1.0
55206.16980	1.0   1.0
55207.82624	1.0   1.0
55209.48080	1.0   1.0
55211.13705	1.0   1.0
55212.79296	1.0   1.0
55214.44708	1.0   1.0
55216.10109	1.0   1.0
55217.75917	1.0   1.0
55219.41358	1.0   1.0
55221.07041	1.0   1.0
55222.72543	1.0   1.0
55224.37971	1.0   1.0
55226.03770	1.0   1.0
55227.69154	1.0   1.0
55229.34517	1.0   1.0
55234.31356	1.0   1.0
55235.96966	1.0   1.0
55237.62375	1.0   1.0
55239.28027	1.0   1.0
55240.93675	1.0   1.0
55242.59084	1.0   1.0
55244.24656	1.0   1.0
55245.90218	1.0   1.0
55247.55717	1.0   1.0
55249.21429	1.0   1.0
55250.86846	1.0   1.0
55252.52304	1.0   1.0
55254.18034	1.0   1.0
55255.83499	1.0   1.0
55257.49035	1.0   1.0
55259.14673	1.0   1.0
55260.80082	1.0   1.0
55262.45651	1.0   1.0
55264.11363	1.0   1.0
55265.76749	1.0   1.0
55267.42271	1.0   1.0
55269.07968	1.0   1.0
55270.73357	1.0   1.0
55272.39051	1.0   1.0
55274.04550	1.0   1.0
55277.35695	1.0   1.0
55279.01249	1.0   1.0
55280.66654	1.0   1.0
55282.32281	1.0   1.0
55283.97738	1.0   1.0
55285.63322	1.0   1.0
55287.29014	1.0   1.0
55288.94397	1.0   1.0
55290.59849	1.0   1.0
55292.25609	1.0   1.0
55293.91073	1.0   1.0
55295.56670	1.0   1.0
55297.22203	1.0   1.0
55298.87643	1.0   1.0
55300.53350	1.0   1.0
55302.18888	1.0   1.0
55303.84324	1.0   1.0
55305.49974	1.0   1.0
55307.15434	1.0   1.0
55310.46613	1.0   1.0
55312.12097	1.0   1.0
55313.77548	1.0   1.0
55315.43334	1.0   1.0
55317.08752	1.0   1.0
55318.74311	1.0   1.0
55320.39900	1.0   1.0
55322.05314	1.0   1.0
55323.70927	1.0   1.0
55325.36579	1.0   1.0
55327.01928	1.0   1.0
55328.67554	1.0   1.0
55330.33191	1.0   1.0
55331.98666	1.0   1.0
55333.64322	1.0   1.0
55335.29799	1.0   1.0
55338.60974	1.0   1.0
55340.26467	1.0   1.0
55341.91942	1.0   1.0
55343.57535	1.0   1.0
55345.22972	1.0   1.0
55346.88587	1.0   1.0
55348.54276	1.0   1.0
55350.19675	1.0   1.0
55351.85209	1.0   1.0
55353.50867	1.0   1.0
55355.16327	1.0   1.0
55356.81943	1.0   1.0
55358.47456	1.0   1.0
55360.12879	1.0   1.0
55361.78592	1.0   1.0
55363.44102	1.0   1.0
55365.09534	1.0   1.0
55366.75184	1.0   1.0
55368.40716	1.0   1.0
55370.06207	1.0   1.0
55373.37308	1.0   1.0
55375.02785	1.0   1.0
55376.68563	1.0   1.0
55378.33978	1.0   1.0
55379.99540	1.0   1.0
55381.65069	1.0   1.0
55383.30511	1.0   1.0
55384.96232	1.0   1.0
55386.61853	1.0   1.0
55388.27175	1.0   1.0
55389.92811	1.0   1.0
55391.58391	1.0   1.0
55393.23867	1.0   1.0
55394.89547	1.0   1.0
55396.54998	1.0   1.0
55398.20433	1.0   1.0
55401.51601	1.0   1.0
55403.17178	1.0   1.0
55404.82763	1.0   1.0
55406.48239	1.0   1.0
55408.13831	1.0   1.0
55409.79507	1.0   1.0
55411.44889	1.0   1.0
55413.10447	1.0   1.0
55414.76061	1.0   1.0
55416.41523	1.0   1.0
55418.07158	1.0   1.0
55419.72657	1.0   1.0
55421.38136	1.0   1.0
55423.03872	1.0   1.0
55424.69371	1.0   1.0
55426.34820	1.0   1.0
55428.00421	1.0   1.0
55429.65953	1.0   1.0
55432.97142	1.0   1.0
55434.62544	1.0   1.0
55436.28069	1.0   1.0
55437.93770	1.0   1.0
55439.59236	1.0   1.0
55441.24822	1.0   1.0
55442.90341	1.0   1.0
55444.55791	1.0   1.0
55446.21518	1.0   1.0
55447.87054	1.0   1.0
55449.52510	1.0   1.0
55451.18098	1.0   1.0
55452.83672	1.0   1.0
55454.49146	1.0   1.0
55456.14846	1.0   1.0
55457.80274	1.0   1.0
55459.45775	1.0   1.0
55461.11464	1.0   1.0
55464.42501	1.0   1.0
55466.08043	1.0   1.0
55467.73528	1.0   1.0
55469.39203	1.0   1.0
55471.04827	1.0   1.0
55472.70186	1.0   1.0
55474.35743	1.0   1.0
55476.01376	1.0   1.0
55477.66875	1.0   1.0
55479.32544	1.0   1.0
55480.97952	1.0   1.0
55482.63385	1.0   1.0
55484.29202	1.0   1.0
55485.94680	1.0   1.0
55487.60112	1.0   1.0
55489.25789	1.0   1.0
55490.91195	1.0   1.0
55492.56859	1.0   1.0
55494.22539	1.0   1.0
55495.87831	1.0   1.0
55497.53371	1.0   1.0
55499.19060	1.0   1.0
55500.84489	1.0   1.0
55502.50133	1.0   1.0
55504.15627	1.0   1.0
55505.81102	1.0   1.0
55507.46811	1.0   1.0
55509.12312	1.0   1.0
55510.77736	1.0   1.0
55512.43372	1.0   1.0
55514.08878	1.0   1.0
55515.74415	1.0   1.0
55517.40076	1.0   1.0
55519.05460	1.0   1.0
55520.70951	1.0   1.0
55522.36712	1.0   1.0
55525.67737	1.0   1.0
55527.33303	1.0   1.0
55528.98650	1.0   1.0
55530.64423	1.0   1.0
55532.29996	1.0   1.0
55533.95306	1.0   1.0
55535.60916	1.0   1.0
55537.26513	1.0   1.0
55538.91993	1.0   1.0
55540.57728	1.0   1.0
55542.23166	1.0   1.0
55543.88603	1.0   1.0
55545.54392	1.0   1.0
55547.19811	1.0   1.0
55548.85274	1.0   1.0
55550.50898	1.0   1.0
55552.16315	1.0   1.0
55568.72066	1.0   1.0
55570.37474	1.0   1.0
55572.02855	1.0   1.0
55573.68481	1.0   1.0
55575.33962	1.0   1.0
55576.99617	1.0   1.0
55578.65296	1.0   1.0
55580.30651	1.0   1.0
55581.96128	1.0   1.0
55583.61910	1.0   1.0
55585.27350	1.0   1.0
55586.92943	1.0   1.0
55588.58441	1.0   1.0
55590.23858	1.0   1.0
55591.89667	1.0   1.0
55593.55174	1.0   1.0
55596.86531	1.0   1.0
55598.51685	1.0   1.0
55600.17277	1.0   1.0
55601.82930	1.0   1.0
55603.48338	1.0   1.0
55605.13776	1.0   1.0
55606.79611	1.0   1.0
55608.44984	1.0   1.0
55610.10542	1.0   1.0
55611.76075	1.0   1.0
55613.41536	1.0   1.0
55615.07280	1.0   1.0
55616.72845	1.0   1.0
55618.38262	1.0   1.0
55620.03847	1.0   1.0
55621.69411	1.0   1.0
55623.34990	1.0   1.0
55625.00636	1.0   1.0
55626.66032	1.0   1.0
55628.31459	1.0   1.0
55629.97281	1.0   1.0
55631.62750	1.0   1.0
55633.28236	1.0   1.0
55634.93741	1.0   1.0
55641.55914	1.0   1.0
55643.21494	1.0   1.0
55644.87151	1.0   1.0
55646.52590	1.0   1.0
55648.18294	1.0   1.0
55649.83691	1.0   1.0
55651.49132	1.0   1.0
55653.14953	1.0   1.0
55654.80376	1.0   1.0
55656.45875	1.0   1.0
55658.11488	1.0   1.0
55659.76959	1.0   1.0
55661.42553	1.0   1.0
55663.08233	1.0   1.0
55664.73572	1.0   1.0
55666.39077	1.0   1.0
55668.04858	1.0   1.0
55669.70296	1.0   1.0
55671.35869	1.0   1.0
55673.01371	1.0   1.0
55674.66784	1.0   1.0
55676.32544	1.0   1.0
55679.63482	1.0   1.0
55681.29061	1.0   1.0
55682.94630	1.0   1.0
55684.60185	1.0   1.0
55686.25820	1.0   1.0
55687.91236	1.0   1.0
55689.56644	1.0   1.0
55691.22488	1.0   1.0
55692.87915	1.0   1.0
55694.53438	1.0   1.0
55696.19059	1.0   1.0
55697.84445	1.0   1.0
55699.50181	1.0   1.0
55701.15715	1.0   1.0
55702.81071	1.0   1.0
55704.46732	1.0   1.0
55706.12270	1.0   1.0
55709.43489	1.0   1.0
55711.08876	1.0   1.0
55712.74294	1.0   1.0
55714.40118	1.0   1.0
55716.05615	1.0   1.0
55717.71088	1.0   1.0
55719.36511	1.0   1.0
55721.02128	1.0   1.0
55722.67781	1.0   1.0
55724.33423	1.0   1.0
55725.98744	1.0   1.0
55727.64266	1.0   1.0
55729.29971	1.0   1.0
55730.95486	1.0   1.0
55732.61089	1.0   1.0
55734.26653	1.0   1.0
55735.91986	1.0   1.0
55737.57800	1.0   1.0
55740.88736	1.0   1.0
55742.54316	1.0   1.0
55744.19835	1.0   1.0
55745.85403	1.0   1.0
55747.51043	1.0   1.0
55749.16440	1.0   1.0
55750.81959	1.0   1.0
55752.47690	1.0   1.0
55754.13176	1.0   1.0
55755.78744	1.0   1.0
55757.44237	1.0   1.0
55759.09655	1.0   1.0
55760.75473	1.0   1.0
55762.40913	1.0   1.0
55764.06327	1.0   1.0
55765.71923	1.0   1.0
55767.37467	1.0   1.0
55769.03018	1.0   1.0
55772.34101	1.0   1.0
55773.99586	1.0   1.0
55775.65348	1.0   1.0
55777.30821	1.0   1.0
55778.96324	1.0   1.0
55780.61843	1.0   1.0
55782.27271	1.0   1.0
55783.93022	1.0   1.0
55785.58594	1.0   1.0
55787.23951	1.0   1.0
55788.89529	1.0   1.0
55790.55162	1.0   1.0
55792.20611	1.0   1.0
55793.86301	1.0   1.0
55795.51778	1.0   1.0
55797.17118	1.0   1.0
55798.82997	1.0   1.0
55800.48379	1.0   1.0
55802.13608	1.0   1.0
55803.79413	1.0   1.0
55805.44929	1.0   1.0
55807.10568	1.0   1.0
55808.76225	1.0   1.0
55810.41548	1.0   1.0
55812.07107	1.0   1.0
55813.72786	1.0   1.0
55815.38256	1.0   1.0
55817.03881	1.0   1.0
55818.69313	1.0   1.0
55820.34732	1.0   1.0
55822.00565	1.0   1.0
55823.66003	1.0   1.0
55825.31480	1.0   1.0
55826.97067	1.0   1.0
55828.62595	1.0   1.0
55830.28141	1.0   1.0
55831.93879	1.0   1.0
55835.24723	1.0   1.0
55836.90452	1.0   1.0
55838.55883	1.0   1.0
55840.21412	1.0   1.0
55841.87006	1.0   1.0
55843.52417	1.0   1.0
55845.18169	1.0   1.0
55846.83676	1.0   1.0
55848.49121	1.0   1.0
55850.14711	1.0   1.0
55851.80283	1.0   1.0
