48500.3570 1 1.0
51415.9980 1 1.0
51832.5518 2 1.0
51837.3523 2 1.0
51877.5481 1 1.0
52606.4543 2 1.0
52634.4492 2 1.0
53020.5977 1 1.0
53020.5985 1 1.0
53716.3052 2 1.0
53716.5067 1 1.0
54016.4684 1 1.0
54366.6209 2 1.0
54420.8149 1 1.0
54719.5734 1 1.0
54722.5754 2 1.0
54725.5735 1 1.0
54726.5752 2 1.0
54740.5726 2 1.0
54747.5707 1 1.0
54753.3699 2 1.0
54753.5706 1 1.0
55175.3162 2 1.0
55175.3181 2 1.0
55175.5120 1 1.0
55175.5154 1 1.0
55175.5169 1 1.0
55201.7135 2 1.0
55497.8738 1 1.0
55829.6311 2 1.0
55868.8268 2 1.0
56643.3277 1 1.0
56643.5258 2 1.0
57320.6410 2 1.0
57343.4381 2 1.0
57344.6378 2 1.0
57385.0313 2 1.0
57385.2345 1 1.0
57385.4313 2 1.0
58017.1532 1 1.0
58175.3331 2 1.0
58805.6573 2 1.0
58836.2535 1 1.0
58836.4514 2 1.0
