   0.00102125    0.821711   1.000
   0.00301974    0.822117   1.000
   0.00502172    0.822912   1.000
   0.00700831    0.824311   1.000
   0.00900415    0.827086   1.000
   0.01105012    0.830251   1.000
   0.01304003    0.834537   1.000
   0.01497126    0.839371   1.000
   0.01698936    0.844083   1.000
   0.01901417    0.850066   1.000
   0.02101108    0.856911   1.000
   0.02302340    0.863287   1.000
   0.02501351    0.871251   1.000
   0.02697540    0.878964   1.000
   0.02898778    0.885919   1.000
   0.03100239    0.894679   1.000
   0.03299921    0.902887   1.000
   0.03497845    0.910874   1.000
   0.03701669    0.920023   1.000
   0.03900076    0.927847   1.000
   0.04098464    0.934903   1.000
   0.04300977    0.942623   1.000
   0.04500464    0.949760   1.000
   0.04695194    0.956251   1.000
   0.04900018    0.962712   1.000
   0.05102220    0.967425   1.000
   0.05298977    0.970920   1.000
   0.05503601    0.973715   1.000
   0.05702373    0.975828   1.000
   0.05897527    0.976821   1.000
   0.06100914    0.977452   1.000
   0.06301618    0.978182   1.000
   0.06501529    0.978436   1.000
   0.06704310    0.978141   1.000
   0.06900737    0.978647   1.000
   0.07096375    0.979070   1.000
   0.07301938    0.978621   1.000
   0.07507140    0.979788   1.000
   0.07703916    0.979980   1.000
   0.07901849    0.979675   1.000
   0.08098291    0.980249   1.000
   0.08298385    0.980760   1.000
   0.08503951    0.980073   1.000
   0.08705938    0.981733   1.000
   0.08898484    0.981937   1.000
   0.09100565    0.981796   1.000
   0.09301381    0.982106   1.000
   0.09501458    0.982511   1.000
   0.09703684    0.982171   1.000
   0.09902987    0.983836   1.000
   0.10097810    0.984107   1.000
   0.10300322    0.983885   1.000
   0.10500243    0.984479   1.000
   0.10700254    0.984518   1.000
   0.10899947    0.984952   1.000
   0.11103616    0.985857   1.000
   0.11301329    0.986207   1.000
   0.11499842    0.986272   1.000
   0.11699717    0.986864   1.000
   0.11902967    0.986906   1.000
   0.12098045    0.987255   1.000
   0.12298761    0.987881   1.000
   0.12500197    0.988653   1.000
   0.12698349    0.989054   1.000
   0.12903641    0.989452   1.000
   0.13102273    0.989552   1.000
   0.13295977    0.990063   1.000
   0.13499858    0.990071   1.000
   0.13702628    0.991342   1.000
   0.13900077    0.992222   1.000
   0.14102515    0.992385   1.000
   0.14301560    0.992416   1.000
   0.14498259    0.992768   1.000
   0.14703866    0.992832   1.000
   0.14906056    0.994295   1.000
   0.15098732    0.995021   1.000
   0.15297726    0.995147   1.000
   0.15500715    0.995545   1.000
   0.15698494    0.995842   1.000
   0.15901289    0.995547   1.000
   0.16100897    0.997198   1.000
   0.16297836    0.997862   1.000
   0.16501993    0.998194   1.000
   0.16701271    0.998762   1.000
   0.16900697    0.998492   1.000
   0.17101272    0.999231   1.000
   0.17299840    1.000042   1.000
   0.17498179    1.000925   1.000
   0.17700886    1.001054   1.000
   0.17900076    1.001828   1.000
   0.18100506    1.001558   1.000
   0.18298758    1.002770   1.000
   0.18499484    1.002636   1.000
   0.18700929    1.003592   1.000
   0.18897486    1.004191   1.000
   0.19098858    1.004670   1.000
   0.19301176    1.004707   1.000
   0.19496708    1.005237   1.000
   0.19700231    1.005246   1.000
   0.19901347    1.006252   1.000
   0.20099838    1.007369   1.000
   0.20303331    1.007301   1.000
   0.20501815    1.007345   1.000
   0.20700393    1.007626   1.000
   0.20904914    1.007957   1.000
   0.21105207    1.008855   1.000
   0.21299882    1.009641   1.000
   0.21501899    1.009320   1.000
   0.21702273    1.009825   1.000
   0.21899655    1.010093   1.000
   0.22102568    1.009748   1.000
   0.22303092    1.011040   1.000
   0.22496971    1.011676   1.000
   0.22698819    1.011829   1.000
   0.22903518    1.011823   1.000
   0.23101371    1.011509   1.000
   0.23304531    1.012185   1.000
   0.23505047    1.012910   1.000
   0.23699221    1.013492   1.000
   0.23899774    1.013422   1.000
   0.24100722    1.013505   1.000
   0.24298105    1.013294   1.000
   0.24501097    1.013922   1.000
   0.24701231    1.013853   1.000
   0.24898512    1.014999   1.000
   0.25099729    1.014554   1.000
   0.25302630    1.014776   1.000
   0.25500150    1.014538   1.000
   0.25696141    1.014875   1.000
   0.25898773    1.014983   1.000
   0.26099208    1.015671   1.000
   0.26300766    1.015963   1.000
   0.26502010    1.015303   1.000
   0.26700636    1.015434   1.000
   0.26896004    1.015506   1.000
   0.27101000    1.015595   1.000
   0.27301479    1.016149   1.000
   0.27500048    1.016623   1.000
   0.27700967    1.015550   1.000
   0.27901302    1.015784   1.000
   0.28097468    1.015584   1.000
   0.28302526    1.015442   1.000
   0.28505228    1.016586   1.000
   0.28700664    1.016436   1.000
   0.28901145    1.015644   1.000
   0.29099724    1.015536   1.000
   0.29296774    1.015373   1.000
   0.29503713    1.015236   1.000
   0.29706707    1.016323   1.000
   0.29901840    1.015905   1.000
   0.30101835    1.015166   1.000
   0.30301170    1.014839   1.000
   0.30499186    1.014640   1.000
   0.30703680    1.014845   1.000
   0.30904283    1.015082   1.000
   0.31098568    1.015194   1.000
   0.31299762    1.014171   1.000
   0.31499594    1.014096   1.000
   0.31699952    1.013605   1.000
   0.31901779    1.013712   1.000
   0.32100108    1.013717   1.000
   0.32298569    1.013926   1.000
   0.32501938    1.013189   1.000
   0.32702319    1.012609   1.000
   0.32900981    1.012378   1.000
   0.33097918    1.012154   1.000
   0.33299875    1.011916   1.000
   0.33496895    1.012352   1.000
   0.33699979    1.012023   1.000
   0.33901900    1.010736   1.000
   0.34098890    1.010711   1.000
   0.34297002    1.010020   1.000
   0.34499984    1.009826   1.000
   0.34700399    1.010677   1.000
   0.34901404    1.010133   1.000
